Account Number,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Time,Transaction_Date,Customer_Age,Customer_Gender,Account_Type,Account_Age,Avg_Transaction_Amount,Past_Fraud_Count,Device_Type,OS,Browser,Is_Trusted_Device,Transaction_City,Transaction_State,Transaction_Country,Known_Location,Transaction_Frequency,High_Amount_Deviation,Multiple_Devices_Used,Transaction_At_Odd_Hours,Merchant_Category,Is_High_Risk_Merchant,Is_Fraud,Transaction_Timestamp,IP_Address_New,New_Latitude,New_Longitude
100000,101,46.93,Payment,Night,Weekend,61,Male,Savings,1,490.37,0,Tablet,iOS,Chrome,1,Ericside,DC,Netherlands Antilles,0,2,0,0,0,Grocery,1,0,23-03-2024 07:37,129.117.8.249,71.726674,-80.390778
100001,102,301.01,Deposit,Afternoon,Weekend,49,Male,Business,19,267.5,2,Tablet,iOS,Chrome,1,East Jennifertown,AR,Heard Island and McDonald Islands,0,7,1,1,0,Travel,1,0,23-03-2024 02:31,187.58.160.118,-77.50712,-86.810067
100002,103,131.67,Deposit,Morning,Weekday,19,Male,Checking,16,240.89,0,Laptop,iOS,Edge,1,Rodriguezfort,WY,Mauritius,0,5,0,1,0,Grocery,1,1,25-03-2024 13:29,171.74.217.120,-45.704438,161.51139
100003,104,91.29,Withdrawal,Night,Weekday,26,Male,Business,13,117.46,2,Mobile,iOS,Safari,1,East Tina,MN,Bouvet Island (Bouvetoya),1,6,0,0,0,Clothing,0,0,25-03-2024 07:14,78.14.36.131,-15.295782,28.52102
100004,105,16.96,Transfer,Morning,Holiday,55,Male,Business,19,427.58,0,Mobile,Windows,Firefox,0,Chentown,AL,Vietnam,0,3,1,0,1,Grocery,1,0,29-03-2024 02:53,102.55.208.217,-32.615996,44.582275
100005,106,16.96,Deposit,Night,Holiday,46,Male,Savings,3,109.99,1,Tablet,Android,Firefox,1,Dorothyview,IN,United States of America,1,10,1,0,0,Electronics,0,0,29-03-2024 03:54,219.202.244.150,-11.566296,-114.800596
100006,107,5.98,Withdrawal,Night,Weekend,55,Male,Savings,3,97.29,1,Tablet,Windows,Firefox,0,Michaelton,KY,Somalia,0,13,0,0,0,Restaurant,1,0,23-03-2024 04:13,83.130.119.236,73.595593,176.043636
100007,108,201.12,Payment,Afternoon,Weekday,35,Male,Business,1,247.55,1,Mobile,Windows,Edge,0,New Ashley,CT,Trinidad and Tobago,0,6,0,1,1,Grocery,1,0,25-03-2024 18:54,118.202.103.167,-78.497139,-149.713484
100008,109,91.91,Payment,Evening,Holiday,39,Female,Business,3,246.49,2,Tablet,Windows,Firefox,1,West Kevinland,CA,El Salvador,0,2,1,0,1,Travel,1,0,29-03-2024 07:33,58.220.167.168,59.0022,31.949972
100009,110,123.13,Payment,Evening,Holiday,52,Male,Checking,16,491.66,1,Laptop,Linux,Safari,0,Costahaven,CO,Senegal,0,10,1,0,1,Grocery,0,0,29-03-2024 20:49,196.50.53.237,24.858021,-4.683112
